"osn","conti_name","candidate","party","total_votes","pct_votes","evm_votes","postal_votes","migrant_votes","xrow_id","xgroup_id","xconti_total"
1,"Andaman & Nicobar Islands-Andaman & Nicobar Islands","AYAN MANDAL","All India Trinamool Congress",1721,0.83,1717,4,NA,1,1,207296
2,"Andaman & Nicobar Islands-Andaman & Nicobar Islands","KULDEEP RAI SHARMA","Indian National Congress",95308,45.98,95249,59,NA,2,1,207296
3,"Andaman & Nicobar Islands-Andaman & Nicobar Islands","PRAKASH MINJ","Bahujan Samaj Party",2486,1.2,2478,8,NA,3,1,207296
4,"Andaman & Nicobar Islands-Andaman & Nicobar Islands","VISHAL JOLLY","Bharatiya Janata Party",93901,45.3,93772,129,NA,4,1,207296
5,"Andaman & Nicobar Islands-Andaman & Nicobar Islands","SANJAY MESHACK","Aam Aadmi Party",2839,1.37,2837,2,NA,5,1,207296
6,"Andaman & Nicobar Islands-Andaman & Nicobar Islands","C G SAJI KUMAR","All India Hindustan Congress Party",212,0.1,212,0,NA,6,1,207296
7,"Andaman & Nicobar Islands-Andaman & Nicobar Islands","K KALIMUTHU","Independent",275,0.13,269,6,NA,7,1,207296
8,"Andaman & Nicobar Islands-Andaman & Nicobar Islands","V V KHALID","Independent",306,0.15,305,1,NA,8,1,207296
9,"Andaman & Nicobar Islands-Andaman & Nicobar Islands","GOUR CHANDRA MAJUMDER","Independent",221,0.11,221,0,NA,9,1,207296
10,"Andaman & Nicobar Islands-Andaman & Nicobar Islands","PARITOSH KUMAR HALDAR","Independent",5341,2.58,5339,2,NA,10,1,207296
11,"Andaman & Nicobar Islands-Andaman & Nicobar Islands","MINATI BISWAS","Independent",618,0.3,615,3,NA,11,1,207296
12,"Andaman & Nicobar Islands-Andaman & Nicobar Islands","C U RASHEED","Independent",273,0.13,272,1,NA,12,1,207296
13,"Andaman & Nicobar Islands-Andaman & Nicobar Islands","K VENKAT RAM BABU","Independent",914,0.44,914,0,NA,13,1,207296
14,"Andaman & Nicobar Islands-Andaman & Nicobar Islands","S SUDERSHAN RAO","Independent",475,0.23,475,0,NA,14,1,207296
15,"Andaman & Nicobar Islands-Andaman & Nicobar Islands","HENRY","Independent",994,0.48,994,0,NA,15,1,207296
16,"Andaman & Nicobar Islands-Andaman & Nicobar Islands","NOTA","None of the Above",1412,0.68,1411,1,NA,16,1,207296
1,"Andhra Pradesh-Amalapuram","AYYAJI VEMA MANEPALLI","Bharatiya Janata Party",11516,0.94,11358,158,NA,17,2,1230903
2,"Andhra Pradesh-Amalapuram","GANTI HARISH MADHUR (BALAYOGI)","Telugu Desam",445347,36.18,442774,2573,NA,18,2,1230903
3,"Andhra Pradesh-Amalapuram","CHINTA ANURADHA","Yuvajana Sramika Rythu Congress Party",485313,39.43,481358,3955,NA,19,2,1230903
4,"Andhra Pradesh-Amalapuram","JANGA GOUTHAM","Indian National Congress",7878,0.64,7840,38,NA,20,2,1230903
5,"Andhra Pradesh-Amalapuram","CHELLE RAJANI","Jana Jagruti Party",1228,0.1,1228,0,NA,21,2,1230903
6,"Andhra Pradesh-Amalapuram","PANTHAGADA VIJAYA CHAKRAVARTHY","Republican Party of India (Khobragade)",1801,0.15,1801,0,NA,22,2,1230903
7,"Andhra Pradesh-Amalapuram","MURALIKRISHNA KANDERI","India Praja Bandhu Party",1802,0.15,1801,1,NA,23,2,1230903
8,"Andhra Pradesh-Amalapuram","MORTHA SIVA RAMA KRISHNA","Pyramid Party of India",1950,0.16,1946,4,NA,24,2,1230903
9,"Andhra Pradesh-Amalapuram","D M R SEKHAR","Janasena Party",254848,20.7,253271,1577,NA,25,2,1230903
10,"Andhra Pradesh-Amalapuram","REVU SUDHAKAR","Independent",2771,0.23,2770,1,NA,26,2,1230903
11,"Andhra Pradesh-Amalapuram","NOTA","None of the Above",16449,1.34,16408,41,NA,27,2,1230903
1,"Andhra Pradesh-Anakapalli","ADARI ANAND KUMAR","Telugu Desam",497034,40.13,495381,1653,NA,28,3,1238491
2,"Andhra Pradesh-Anakapalli","Dr. Gandi Venkata Satyanarayana Rao (Dr Vikram)","Bharatiya Janata Party",13276,1.07,12888,388,NA,29,3,1238491
3,"Andhra Pradesh-Anakapalli","Dr.Beesetti Venkata Satyavathi","Yuvajana Sramika Rythu Congress Party",586226,47.33,583210,3016,NA,30,3,1238491
4,"Andhra Pradesh-Anakapalli","Ruthala Srirama Murthy","Indian National Congress",10121,0.82,10072,49,NA,31,3,1238491
5,"Andhra Pradesh-Anakapalli","P.S.AJAY KUMAR","Communist Party of India  (Marxist-Leninist)  (Liberation)",2716,0.22,2708,8,NA,32,3,1238491
6,"Andhra Pradesh-Anakapalli","K B SWAROOP","Jana Jagruti Party",1621,0.13,1615,6,NA,33,3,1238491
7,"Andhra Pradesh-Anakapalli","Chintala Partha Sarathi","Janasena Party",82588,6.67,82126,462,NA,34,3,1238491
8,"Andhra Pradesh-Anakapalli","Taadi Veera Jagadeeshwari","Pyramid Party of India",1803,0.15,1801,2,NA,35,3,1238491
9,"Andhra Pradesh-Anakapalli","Vadlamuri Krishna Swaroop","Dalita Bahujana Party",4444,0.36,4443,1,NA,36,3,1238491
10,"Andhra Pradesh-Anakapalli","Appala Naidu Tummagunta","Independent",3765,0.3,3760,5,NA,37,3,1238491
11,"Andhra Pradesh-Anakapalli","NOTA","None of the Above",34897,2.82,34877,20,NA,38,3,1238491
1,"Andhra Pradesh-Anantapur","D.JAGADEESH","Communist Party of India",20294,1.51,20192,102,NA,39,4,1342306
2,"Andhra Pradesh-Anantapur","TALARI RANGAIAH","Yuvajana Sramika Rythu Congress Party",695208,51.79,690901,4307,NA,40,4,1342306
3,"Andhra Pradesh-Anantapur","J.C. PAVAN REDDY","Telugu Desam",553780,41.26,550597,3183,NA,41,4,1342306
4,"Andhra Pradesh-Anantapur","K.RAJIV REDDY","Indian National Congress",30079,2.24,29994,85,NA,42,4,1342306
5,"Andhra Pradesh-Anantapur","HAMSA DEVINENI","Bharatiya Janata Party",7604,0.57,7440,164,NA,43,4,1342306
6,"Andhra Pradesh-Anantapur","GADIDAMA RANGANAYAKULU","Vishwa Jana Party",728,0.05,728,0,NA,44,4,1342306
7,"Andhra Pradesh-Anantapur","P.RADHA KRISHNA","Radical Democrats",1220,0.09,1219,1,NA,45,4,1342306
8,"Andhra Pradesh-Anantapur","G. LALITHA","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)",899,0.07,890,9,NA,46,4,1342306
9,"Andhra Pradesh-Anantapur","M.VENKATESULU","Pyramid Party of India",1048,0.08,1043,5,NA,47,4,1342306
10,"Andhra Pradesh-Anantapur","S.V.P. YADAV","Independent",4398,0.33,4398,0,NA,48,4,1342306
11,"Andhra Pradesh-Anantapur","P. RANGAIAH","Independent",3588,0.27,3580,8,NA,49,4,1342306
12,"Andhra Pradesh-Anantapur","L. RANGAIAH","Independent",1691,0.13,1688,3,NA,50,4,1342306
13,"Andhra Pradesh-Anantapur","VADDE KASINATH","Independent",2066,0.15,2063,3,NA,51,4,1342306
14,"Andhra Pradesh-Anantapur","SOMANATH DESHMUKH","Independent",3237,0.24,3236,1,NA,52,4,1342306
15,"Andhra Pradesh-Anantapur","NOTA","None of the Above",16466,1.23,16406,60,NA,53,4,1342306
1,"Andhra Pradesh-Aruku","KISHORE CHANDRA DEO","Telugu Desam",338101,31.46,336163,1938,NA,54,5,1074538
2,"Andhra Pradesh-Aruku","Dr. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY","Bharatiya Janata Party",17867,1.66,17578,289,NA,55,5,1074538
3,"Andhra Pradesh-Aruku","GODDETI. MADHAVI","Yuvajana Sramika Rythu Congress Party",562190,52.32,557561,4629,NA,56,5,1074538
4,"Andhra Pradesh-Aruku","SHRUTI DEVI VYRICHERLA","Indian National Congress",17730,1.65,17656,74,NA,57,5,1074538
5,"Andhra Pradesh-Aruku","GANGULAIAH VAMPURU.","Janasena Party",42794,3.98,42245,549,NA,58,5,1074538
